1,0,

0,0,0,1,0,

7,-9

prefabPickUp,1

prefabRock,19,-18
prefabRegolith,18,-18
prefabPackedRegolith,17,-18
prefabPackedRegolith,16,-18
prefabKamacite,13,-18
prefabRock,12,-18
prefabRock,11,-18
prefabRegolith,10,-18
prefabRock,9,-18
prefabPackedRegolith,8,-18
prefabRegolith,6,-18
prefabKamacite,5,-18
prefabPackedRegolith,4,-18
prefabRegolith,3,-18
prefabKamacite,1,-18
prefabKamacite,0,-18
prefabPackedRegolith,19,-17
prefabPackedRegolith,18,-17
prefabRegolith,17,-17
prefabRegolith,16,-17
prefabRegolith,13,-17
prefabPackedRegolith,12,-17
prefabPackedRegolith,11,-17
prefabRock,10,-17
prefabRegolith,9,-17
prefabRock,8,-17
prefabRegolith,7,-17.999
prefabRock,6,-17
prefabRegolith,5,-17
prefabRegolith,4,-17
prefabRegolith,3,-17
prefabRegolith,2,-17.999
prefabPackedRegolith,1,-17
prefabRock,0,-17
prefabRock,19,-16
prefabRegolith,18,-16
prefabRegolith,15,-16
prefabPackedRegolith,14,-16
prefabPackedRegolith,13,-16
prefabRock,12,-16
prefabKamacite,11,-16
prefabPackedRegolith,10,-16
prefabKamacite,9,-16
prefabPackedRegolith,8,-16
prefabRock,7,-16
prefabKamacite,6,-16
prefabRegolith,5,-16
prefabKamacite,4,-16
prefabRegolith,3,-16
prefabKamacite,2,-16
prefabQuartz,1,-16
prefabRegolith,0,-16
prefabTaenite,19,-15
prefabTaenite,18,-15
prefabPackedRegolith,17,-15
prefabRock,16,-15
prefabRegolith,15,-15
prefabQuartz,14,-15
prefabRock,13,-15
prefabKamacite,12,-15
prefabPackedRegolith,10,-15
prefabTaenite,9,-15
prefabRegolith,8,-15
prefabPackedRegolith,7,-15
prefabPackedRegolith,5,-15
prefabPackedRegolith,4,-15
prefabPackedRegolith,3,-15
prefabRegolith,2,-15
prefabRegolith,1,-15
prefabRegolith,0,-15
prefabPackedRegolith,19,-14
prefabPackedRegolith,18,-14
prefabPackedRegolith,17,-14
prefabQuartz,16,-14
prefabPackedRegolith,15,-14
prefabRegolith,14,-14
prefabPackedRegolith,13,-14
prefabRegolith,12,-14
prefabRegolith,11,-14.999
prefabRock,10,-14
prefabPackedRegolith,9,-14
prefabPackedRegolith,8,-14
prefabPackedRegolith,7,-14
prefabQuartz,6,-14
prefabPackedRegolith,4,-14
prefabRegolith,3,-14
prefabPackedRegolith,2,-14
prefabRegolith,1,-14
prefabRegolith,19,-13
prefabPackedRegolith,18,-13
prefabRock,17,-13
prefabPackedRegolith,16,-13
prefabTaenite,15,-13
prefabRegolith,14,-13
prefabRegolith,13,-13
prefabPackedRegolith,12,-13
prefabRegolith,11,-13.998
prefabRegolith,10,-13
prefabRock,9,-13
prefabKamacite,8,-13
prefabRegolith,7,-13
prefabRegolith,6,-13
prefabRock,5,-13
prefabPackedRegolith,4,-13
prefabRegolith,3,-13
prefabPackedRegolith,2,-13
prefabRock,0,-13
prefabPackedRegolith,19,-12
prefabPackedRegolith,18,-12
prefabRegolith,17,-12
prefabRock,16,-12
prefabKamacite,15,-12
prefabRegolith,14,-12
prefabPackedRegolith,13,-12
prefabPackedRegolith,11,-12
prefabRock,10,-12
prefabTaenite,9,-12
prefabRock,8,-12
prefabRegolith,7,-12
prefabRegolith,6,-12
prefabPackedRegolith,5,-12
prefabPackedRegolith,4,-12
prefabRegolith,3,-12
prefabPackedRegolith,2,-12
prefabRegolith,1,-12.999
prefabPackedRegolith,0,-12
prefabRegolith,19,-11
prefabRock,18,-11
prefabRegolith,17,-11
prefabKamacite,16,-11
prefabRegolith,15,-11
prefabRegolith,14,-11
prefabPackedRegolith,13,-11
prefabRock,12,-11
prefabRock,10,-11
prefabRegolith,9,-11
prefabPackedRegolith,8,-11
prefabPackedRegolith,7,-11
prefabRock,6,-11
prefabRock,5,-11
prefabRock,4,-11
prefabTaenite,3,-11
prefabKamacite,2,-11
prefabPackedRegolith,1,-11
prefabPackedRegolith,0,-11
prefabPackedRegolith,18,-10
prefabRegolith,17,-10
prefabPackedRegolith,16,-10
prefabRock,15,-10
prefabRegolith,14,-10
prefabTaenite,13,-10
prefabRock,5,-10
prefabRegolith,4,-10
prefabQuartz,3,-10
prefabPackedRegolith,2,-10
prefabPackedRegolith,1,-10
prefabRock,0,-10
prefabKamacite,18,-9
prefabKamacite,17,-9
prefabPackedRegolith,16,-9
prefabPackedRegolith,15,-9
prefabRock,14,-9
prefabRegolith,13,-9
prefabKamacite,4,-9
prefabPackedRegolith,3,-9
prefabPackedRegolith,0,-9
prefabKamacite,17,-8
prefabRock,16,-8
prefabPackedRegolith,15,-8
prefabTaenite,14,-8
prefabRock,5,-8
prefabRegolith,0,-8
prefabPackedRegolith,17,-7
prefabTaenite,16,-7
prefabPackedRegolith,15,-7
prefabPackedRegolith,14,-7
prefabPackedRegolith,13,-7
prefabRock,5,-7
prefabPackedRegolith,0,-7
prefabPackedRegolith,19,-6
prefabPackedRegolith,18,-6
prefabRegolith,17,-6
prefabRegolith,16,-6
prefabPackedRegolith,15,-6
prefabPackedRegolith,14,-6
prefabRegolith,13,-6
prefabKamacite,5,-6
prefabPackedRegolith,0,-6
prefabPackedRegolith,19,-5
prefabPackedRegolith,16,-5
prefabKamacite,15,-5
prefabPackedRegolith,14,-5
prefabPackedRegolith,13,-5
prefabRegolith,5,-5
prefabRegolith,4,-5.999
prefabPackedRegolith,3,-5
prefabRock,2,-5
prefabQuartz,0,-5
prefabPackedRegolith,19,-4
prefabQuartz,16,-4
prefabRegolith,15,-4
prefabRock,14,-4
prefabRock,12,-4
prefabKamacite,9,-4
prefabTaenite,7,-4
prefabPackedRegolith,6,-4
prefabRock,5,-4
prefabPackedRegolith,4,-4
prefabRegolith,3,-4
prefabRegolith,1,-5.999
prefabKamacite,0,-4
prefabRegolith,19,-3
prefabPackedRegolith,18,-3
prefabPackedRegolith,17,-3
prefabRock,15,-3
prefabPackedRegolith,14,-3
prefabKamacite,13,-3
prefabPackedRegolith,12,-3
prefabRegolith,9,-3
prefabPackedRegolith,8,-3
prefabPackedRegolith,7,-3
prefabRegolith,6,-3
prefabPackedRegolith,5,-3
prefabPackedRegolith,4,-3
prefabPackedRegolith,3,-3
prefabRock,2,-3
prefabKamacite,1,-3
prefabRegolith,0,-3
prefabHypersthene,14.5,-17.5
prefabHypersthene,18.5,-7.5
prefabHypersthene,17.5,-4.5
prefabHypersthene,10.5,-3.5
prefabRegolith,4,-8
prefabRegolith,3,-8
prefabRegolith,2,-8.999
prefabPackedRegolith,1,-8
prefabWater,4,-7
prefabWater,3,-7
prefabWater,2,-7
prefabWater,1,-7
prefabRock,12,-10
prefabRock,11,-10
prefabPackedRegolith,10,-10
prefabPackedRegolith,9,-10
prefabRock,8,-10
prefabRock,7,-10
prefabPackedRegolith,6,-10
prefabRegolith,12,-9
prefabRegolith,11,-9
prefabRock,10,-9
prefabFactory,9,-9
prefabRegolith,12,-8
prefabRock,10,-8
prefabPackedRegolith,6,-8
prefabPackedRegolith,12,-7
prefabPackedRegolith,6,-7
prefabPackedRegolith,12,-6
prefabPackedRegolith,9,-6
prefabPackedRegolith,8,-6
prefabPackedRegolith,7,-6
prefabRock,6,-6
prefabRock,12,-5
prefabRock,11,-5
prefabRock,10,-5
prefabPackedRegolith,9,-5
prefabRegolith,8,-5
prefabRock,7,-5
prefabRock,6,-5
prefabInvBlk,19,-19
prefabInvBlk,18,-19
prefabInvBlk,17,-19
prefabInvBlk,16,-19
prefabInvBlk,15,-19
prefabInvBlk,14,-19
prefabInvBlk,13,-19
prefabInvBlk,12,-19
prefabInvBlk,11,-19
prefabInvBlk,10,-19
prefabInvBlk,9,-19
prefabInvBlk,8,-19
prefabInvBlk,7,-19
prefabInvBlk,6,-19
prefabInvBlk,5,-19
prefabInvBlk,4,-19
prefabInvBlk,3,-19
prefabInvBlk,2,-19
prefabInvBlk,1,-19
prefabInvBlk,0,-19
prefabPackedRegolith,19,-2
prefabPackedRegolith,18,-2
prefabRegolith,17,-2
prefabRegolith,16,-2.999
prefabRegolith,15,-2
prefabPackedRegolith,14,-2
prefabPackedRegolith,13,-2
prefabPackedRegolith,12,-2
prefabPackedRegolith,11,-2
prefabRegolith,10,-2
prefabPackedRegolith,9,-2
prefabRegolith,8,-2
prefabRegolith,7,-2
prefabPackedRegolith,6,-2
prefabRegolith,5,-2
prefabRegolith,4,-2
prefabPackedRegolith,3,-2
prefabPackedRegolith,2,-2
prefabPackedRegolith,1,-2
prefabRegolith,0,-2
prefabPackedRegolith,19,-1
prefabRegolith,18,-1
prefabPackedRegolith,17,-1
prefabPackedRegolith,16,-1
prefabPackedRegolith,15,-1
prefabPackedRegolith,14,-1
prefabPackedRegolith,13,-1
prefabPackedRegolith,12,-1
prefabPackedRegolith,11,-1
prefabPackedRegolith,10,-1
prefabPackedRegolith,9,-1
prefabPackedRegolith,8,-1
prefabPackedRegolith,7,-1
prefabPackedRegolith,6,-1
prefabRegolith,5,-1
prefabPackedRegolith,4,-1
prefabPackedRegolith,3,-1
prefabRegolith,2,-1
prefabPackedRegolith,1,-1
prefabRegolith,0,-1
prefabRegolith,19,0
prefabRegolith,18,0
prefabRegolith,17,0
prefabPackedRegolith,16,0
prefabPackedRegolith,15,0
prefabPackedRegolith,14,0
prefabRegolith,13,0
prefabPackedRegolith,12,0
prefabPackedRegolith,11,0
prefabRegolith,10,0
prefabPackedRegolith,9,0
prefabRegolith,8,0
prefabPackedRegolith,7,0
prefabPackedRegolith,6,0
prefabPackedRegolith,5,0
prefabRegolith,4,0
prefabRegolith,3,0
prefabRegolith,2,0
prefabPackedRegolith,1,0
prefabRegolith,0,0
player,7,-9
