0,0


prefabInvBlk,-4,-1
prefabInvBlk,-4,-2
prefabInvBlk,-4,-3
prefabInvBlk,-4,-4
prefabInvBlk,6,-1
prefabInvBlk,6,-2
prefabInvBlk,6,-3
prefabInvBlk,6,-4
prefabInvBlk,5,-4
prefabInvBlk,4,-4
prefabInvBlk,3,-4
prefabInvBlk,2,-4
prefabInvBlk,1,-4
prefabInvBlk,0,-4
prefabInvBlk,-1,-4
prefabInvBlk,-2,-4
prefabInvBlk,-3,-4
prefabRock,-2,-2
prefabRock,-3,-3
prefabRock,-3,-2
prefabRock,-3,-1
prefabLadder,-2,-1
prefabRock,1,-2
prefabRock,5,-1
prefabRock,5,-3
prefabRock,2,-3
prefabWater,5,-2
prefabPackedRegolith,4,-3
prefabRegolith,3,-3
prefabWater,4,-2
prefabWater,3,-2
prefabRock,2,-2
prefabPackedRegolith,4,-1
prefabRegolith,3,-1
prefabRegolith,2,-1
prefabRock,1,-1
prefabRock,0,-1
prefabRock,-1,-1
player,0,0
