prefabPickUp,2

prefabLadder,3,3
prefabInvBlk,6,0
prefabPickUp,2.807359,1.921618
prefabBombPickUp,1,1.961896
prefabHypersthene,-10.5,1.5
prefabInvBlk,5,0
prefabInvBlk,4,0
prefabInvBlk,10.5,0
prefabInvBlk,2,0
prefabInvBlk,0,0
prefabPackedRegolith,0,2
prefabLadder,2,3
prefabInvBlk,-1,0
prefabInvBlk,1,0
prefabPickUp,1.980466,2.975915
prefabHypersthene,9.5,2.503
prefabInvBlk,3,0
prefabPackedRegolith,-5,1
prefabInvBlk,-7.5,0
prefabSuppPickUp1,0.9477802,4.901605
prefabRegolith,6,3.001
prefabLadder,1,4
prefabRock,6,2
prefabFactory,-2,1
prefabInvBlk,-3,0
prefabRegolith,7,1.001
player,2,0.8800001
prefabPickUp,-2.869333,2.004624
prefabInvBlk,-2,0
prefabRegolith,8,1
prefabLadder,1,3
prefabPackedRegolith,3,2
prefabWater,-9,1
prefabRegolith,9,1.001
